#a1 a2 eps sig(A)
B0aTc B0tGc 1.7 3.6
B0aTc B0tGt 1.7 3.6
B0aTc B0tG3 1.7 3.6
B05Ga B0aTt 1.7 3.6
B05Gu B0aTt 1.7 3.6
B05Gg B0aTt 1.7 3.6
B05Gc B0aTt 1.7 3.6
B05Gt B0aTt 1.7 3.6
B05G3 B0aTt 1.7 3.6
B0aGa B0aTt 1.7 3.6
B0aGu B0aTt 1.7 3.6
B0aGg B0aTt 1.7 3.6
B0aGc B0aTt 1.7 3.6
B0aGt B0aTt 1.7 3.6
B0aG3 B0aTt 1.7 3.6
B0aTt B0uGa 1.7 3.6
B0aTt B0uGu 1.7 3.6
B0aTt B0uGg 1.7 3.6
B0aTt B0uGc 1.7 3.6
B0aTt B0uGt 1.7 3.6
B0aTt B0uG3 1.7 3.6
B0aTt B0gGa 1.7 3.6
B0aTt B0gGu 1.7 3.6
B0aTt B0gGg 1.7 3.6
B0aTt B0gGc 1.7 3.6
B0aTt B0gGt 1.7 3.6
B0aTt B0gG3 1.7 3.6
B0aTt B0cGa 1.7 3.6
B0aTt B0cGu 1.7 3.6
B0aTt B0cGg 1.7 3.6
B0aTt B0cGc 1.7 3.6
B0aTt B0cGt 1.7 3.6
B0aTt B0cG3 1.7 3.6
B0aTt B0tGa 1.7 3.6
B0aTt B0tGu 1.7 3.6
B0aTt B0tGg 1.7 3.6
B0aTt B0tGc 1.7 3.6
B0aTt B0tGt 1.7 3.6
B0aTt B0tG3 1.7 3.6
B05Ga B0aT3 1.7 3.6
B05Gu B0aT3 1.7 3.6
B05Gg B0aT3 1.7 3.6
B05Gc B0aT3 1.7 3.6
B05Gt B0aT3 1.7 3.6
B0aGa B0aT3 1.7 3.6
B0aGu B0aT3 1.7 3.6
B0aGg B0aT3 1.7 3.6
B0aGc B0aT3 1.7 3.6
B0aGt B0aT3 1.7 3.6
B0aT3 B0uGa 1.7 3.6
B0aT3 B0uGu 1.7 3.6
B0aT3 B0uGg 1.7 3.6
B0aT3 B0uGc 1.7 3.6
B0aT3 B0uGt 1.7 3.6
B0aT3 B0gGa 1.7 3.6
B0aT3 B0gGu 1.7 3.6
B0aT3 B0gGg 1.7 3.6
B0aT3 B0gGc 1.7 3.6
B0aT3 B0gGt 1.7 3.6
B0aT3 B0cGa 1.7 3.6
B0aT3 B0cGu 1.7 3.6
B0aT3 B0cGg 1.7 3.6
B0aT3 B0cGc 1.7 3.6
B0aT3 B0cGt 1.7 3.6
B0aT3 B0tGa 1.7 3.6
B0aT3 B0tGu 1.7 3.6
B0aT3 B0tGg 1.7 3.6
B0aT3 B0tGc 1.7 3.6
B0aT3 B0tGt 1.7 3.6
B05Ga B0uTa 1.7 3.6
B05Gu B0uTa 1.7 3.6
B05Gg B0uTa 1.7 3.6
B05Gc B0uTa 1.7 3.6
B05Gt B0uTa 1.7 3.6
B05G3 B0uTa 1.7 3.6
B0aGa B0uTa 1.7 3.6
B0aGu B0uTa 1.7 3.6
B0aGg B0uTa 1.7 3.6
B0aGc B0uTa 1.7 3.6
B0aGt B0uTa 1.7 3.6
B0aG3 B0uTa 1.7 3.6
B0uGa B0uTa 1.7 3.6
B0uGu B0uTa 1.7 3.6
B0uGg B0uTa 1.7 3.6
B0uGc B0uTa 1.7 3.6
B0uGt B0uTa 1.7 3.6
B0uG3 B0uTa 1.7 3.6
B0gGa B0uTa 1.7 3.6
B0gGu B0uTa 1.7 3.6
B0gGg B0uTa 1.7 3.6
B0gGc B0uTa 1.7 3.6
B0gGt B0uTa 1.7 3.6
B0gG3 B0uTa 1.7 3.6
B0cGa B0uTa 1.7 3.6
B0cGu B0uTa 1.7 3.6
B0cGg B0uTa 1.7 3.6
B0cGc B0uTa 1.7 3.6
B0cGt B0uTa 1.7 3.6
B0cG3 B0uTa 1.7 3.6
B0tGa B0uTa 1.7 3.6
B0tGu B0uTa 1.7 3.6
B0tGg B0uTa 1.7 3.6
B0tGc B0uTa 1.7 3.6
B0tGt B0uTa 1.7 3.6
B0tG3 B0uTa 1.7 3.6
B05Ga B0uTu 1.7 3.6
B05Gu B0uTu 1.7 3.6
B05Gg B0uTu 1.7 3.6
B05Gc B0uTu 1.7 3.6
B05Gt B0uTu 1.7 3.6
B05G3 B0uTu 1.7 3.6
B0aGa B0uTu 1.7 3.6
B0aGu B0uTu 1.7 3.6
B0aGg B0uTu 1.7 3.6
B0aGc B0uTu 1.7 3.6
B0aGt B0uTu 1.7 3.6
B0aG3 B0uTu 1.7 3.6
B0uGa B0uTu 1.7 3.6
B0uGu B0uTu 1.7 3.6
B0uGg B0uTu 1.7 3.6
B0uGc B0uTu 1.7 3.6
B0uGt B0uTu 1.7 3.6
B0uG3 B0uTu 1.7 3.6
B0gGa B0uTu 1.7 3.6
B0gGu B0uTu 1.7 3.6
B0gGg B0uTu 1.7 3.6
B0gGc B0uTu 1.7 3.6
B0gGt B0uTu 1.7 3.6
B0gG3 B0uTu 1.7 3.6
B0cGa B0uTu 1.7 3.6
B0cGu B0uTu 1.7 3.6
B0cGg B0uTu 1.7 3.6
B0cGc B0uTu 1.7 3.6
B0cGt B0uTu 1.7 3.6
B0cG3 B0uTu 1.7 3.6
B0tGa B0uTu 1.7 3.6
B0tGu B0uTu 1.7 3.6
B0tGg B0uTu 1.7 3.6
B0tGc B0uTu 1.7 3.6
B0tGt B0uTu 1.7 3.6
B0tG3 B0uTu 1.7 3.6
B05Ga B0uTg 1.7 3.6
B05Gu B0uTg 1.7 3.6
B05Gg B0uTg 1.7 3.6
