#a1 a2 eps sig(A)
B05Uu CBH 2.3 3.6
B05Ug CBH 2.3 3.6
B05Uc CBH 2.3 3.6
B05Ut CBH 2.3 3.6
B05U3 CBH 2.3 3.6
B0aUa CBH 2.3 3.6
B0aUu CBH 2.3 3.6
B0aUg CBH 2.3 3.6
B0aUc CBH 2.3 3.6
B0aUt CBH 2.3 3.6
B0aU3 CBH 2.3 3.6
B0uUa CBH 2.3 3.6
B0uUu CBH 2.3 3.6
B0uUg CBH 2.3 3.6
B0uUc CBH 2.3 3.6
B0uUt CBH 2.3 3.6
B0uU3 CBH 2.3 3.6
B0gUa CBH 2.3 3.6
B0gUu CBH 2.3 3.6
B0gUg CBH 2.3 3.6
B0gUc CBH 2.3 3.6
B0gUt CBH 2.3 3.6
B0gU3 CBH 2.3 3.6
B0cUa CBH 2.3 3.6
B0cUu CBH 2.3 3.6
B0cUg CBH 2.3 3.6
B0cUc CBH 2.3 3.6
B0cUt CBH 2.3 3.6
B0cU3 CBH 2.3 3.6
B0tUa CBH 2.3 3.6
B0tUu CBH 2.3 3.6
B0tUg CBH 2.3 3.6
B0tUc CBH 2.3 3.6
B0tUt CBH 2.3 3.6
B0tU3 CBH 2.3 3.6
#B0G CBW 3.9 3.6
B05Ga CBW 3.9 3.6
B05Gu CBW 3.9 3.6
B05Gg CBW 3.9 3.6
B05Gc CBW 3.9 3.6
B05Gt CBW 3.9 3.6
B05G3 CBW 3.9 3.6
B0aGa CBW 3.9 3.6
B0aGu CBW 3.9 3.6
B0aGg CBW 3.9 3.6
B0aGc CBW 3.9 3.6
B0aGt CBW 3.9 3.6
B0aG3 CBW 3.9 3.6
B0uGa CBW 3.9 3.6
B0uGu CBW 3.9 3.6
B0uGg CBW 3.9 3.6
B0uGc CBW 3.9 3.6
B0uGt CBW 3.9 3.6
B0uG3 CBW 3.9 3.6
B0gGa CBW 3.9 3.6
B0gGu CBW 3.9 3.6
B0gGg CBW 3.9 3.6
B0gGc CBW 3.9 3.6
B0gGt CBW 3.9 3.6
B0gG3 CBW 3.9 3.6
B0cGa CBW 3.9 3.6
B0cGu CBW 3.9 3.6
B0cGg CBW 3.9 3.6
B0cGc CBW 3.9 3.6
B0cGt CBW 3.9 3.6
B0cG3 CBW 3.9 3.6
B0tGa CBW 3.9 3.6
B0tGu CBW 3.9 3.6
B0tGg CBW 3.9 3.6
B0tGc CBW 3.9 3.6
B0tGt CBW 3.9 3.6
B0tG3 CBW 3.9 3.6
#B0G CBY 2.9 3.6
B05Ga CBY 2.9 3.6
B05Gu CBY 2.9 3.6
