#a1 a2 eps sig(A)
#S0aAu S0cUu 1.00 14.00
S0aAu B0cUu 1.00 10.00
B0aAu S0cUu 1.00 10.00
B0aAu B0cUu 1.00  6.00
#S0aAu S0cUt 1.00 14.00
S0aAu B0cUt 1.00 10.00
B0aAu S0cUt 1.00 10.00
B0aAu B0cUt 1.00  6.00
#S0aAu S0tUu 1.00 14.00
S0aAu B0tUu 1.00 10.00
B0aAu S0tUu 1.00 10.00
B0aAu B0tUu 1.00  6.00
#S0aAu S0tUt 1.00 14.00
S0aAu B0tUt 1.00 10.00
B0aAu S0tUt 1.00 10.00
B0aAu B0tUt 1.00  6.00
#S05Uu S0aAg 1.00 14.00
S05Uu B0aAg 1.00 10.00
B05Uu S0aAg 1.00 10.00
B05Uu B0aAg 1.00  6.00
#S05Ut S0aAg 1.00 14.00
S05Ut B0aAg 1.00 10.00
B05Ut S0aAg 1.00 10.00
B05Ut B0aAg 1.00  6.00
#S0aAg S0aUu 1.00 14.00
S0aAg B0aUu 1.00 10.00
B0aAg S0aUu 1.00 10.00
B0aAg B0aUu 1.00  6.00
#S0aAg S0aUt 1.00 14.00
S0aAg B0aUt 1.00 10.00
B0aAg S0aUt 1.00 10.00
B0aAg B0aUt 1.00  6.00
#S0aAg S0uUu 1.00 14.00
S0aAg B0uUu 1.00 10.00
B0aAg S0uUu 1.00 10.00
B0aAg B0uUu 1.00  6.00
#S0aAg S0uUt 1.00 14.00
S0aAg B0uUt 1.00 10.00
B0aAg S0uUt 1.00 10.00
B0aAg B0uUt 1.00  6.00
#S0aAg S0gUu 1.00 14.00
S0aAg B0gUu 1.00 10.00
B0aAg S0gUu 1.00 10.00
B0aAg B0gUu 1.00  6.00
#S0aAg S0gUt 1.00 14.00
S0aAg B0gUt 1.00 10.00
B0aAg S0gUt 1.00 10.00
B0aAg B0gUt 1.00  6.00
#S0aAg S0cUa 1.00 14.00
S0aAg B0cUa 1.00 10.00
B0aAg S0cUa 1.00 10.00
B0aAg B0cUa 1.00  6.00
#S0aAg S0cUu 2.00 14.00
S0aAg B0cUu 2.00 10.00
B0aAg S0cUu 2.00 10.00
B0aAg B0cUu 2.00  6.00
#S0aAg S0cUg 1.00 14.00
S0aAg B0cUg 1.00 10.00
B0aAg S0cUg 1.00 10.00
B0aAg B0cUg 1.00  6.00
#S0aAg S0cUc 1.00 14.00
S0aAg B0cUc 1.00 10.00
B0aAg S0cUc 1.00 10.00
B0aAg B0cUc 1.00  6.00
#S0aAg S0cUt 2.00 14.00
S0aAg B0cUt 2.00 10.00
B0aAg S0cUt 2.00 10.00
B0aAg B0cUt 2.00  6.00
#S0aAg S0cU3 1.00 14.00
S0aAg B0cU3 1.00 10.00
B0aAg S0cU3 1.00 10.00
